id,level,jobs
"270",3,92512
"290",1,100082
"290",2,155780
"290",3,161762
"354",2,162413
"291",1,95550
"291",2,140368
"291",3,163388
"292",1,100564
"292",2,175851
"292",3,200841
"293",1,96950
"293",2,129399
"293",3,154022
"294",1,102837
"294",2,143913
"294",3,152410
"295",1,87516
"295",2,119732
"295",3,138276
"296",1,74455
"296",2,94722
"296",3,104393
"297",1,134586
"297",2,173512
"297",3,204694
"298",1,124752
"298",2,163776
"298",3,184551
"299",1,117154
"299",2,154548
"299",3,166161
"300",1,91362
"300",2,130585
"300",3,134221
"301",1,65647
"301",2,112073
"273",3,99624
"301",3,116965
"302",1,79031
"302",2,124653
"302",3,127557
"303",1,142527
"303",2,220319
"303",3,269405
"401",1,47079
"271",1,18646
"271",2,19658
"271",3,19857
"272",1,8569
"272",2,7198
"272",3,8569
"273",1,66812
"273",2,84014
"325",3,650034
"274",1,96175
"274",2,142663
"274",3,154488
"275",1,91596
"275",2,106497
"275",3,130436
"276",1,81097
"276",2,105477
"276",3,126039
"277",1,97571
"277",2,109865
"277",3,132677
"278",1,101935
"278",2,156459
"278",3,188714
"306",1,134414
"306",2,186404
"306",3,260043
"279",1,101119
"279",2,160342
"279",3,181229
"280",1,95094
"280",2,162453
"280",3,186202
"281",1,96216
"281",2,157046
"281",3,187564
"282",1,98373
"282",2,153818
"282",3,190614
"283",1,99686
"283",2,145323
"283",3,179033
"284",1,99407
"284",2,144273
"284",3,172083
"285",1,102113
"285",2,152279
"285",3,166893
"286",1,70568
"286",2,105871
"286",3,112559
"287",1,115567
"287",2,165056
"287",3,186132
"288",1,104087
"288",2,155463
"288",3,172682
"378",1,29895
"289",1,102373
"289",2,147616
"289",3,161309
"304",1,138596
"304",2,177765
"304",3,227615
"305",1,138218
"305",2,207621
"305",3,253219
"307",1,190232
"307",2,432471
"307",3,693840
"308",1,196620
"308",2,414223
"308",3,570680
"309",1,164007
"309",2,372621
"309",3,602349
"310",1,148602
"310",2,342814
"310",3,463079
"311",1,133114
"311",2,263033
"311",3,427100
"312",1,192865
"312",2,437914
"312",3,707638
"313",1,178507
"313",2,386606
"313",3,651085
"314",1,160092
"314",2,341475
"314",3,623174
"315",1,161285
"315",2,307828
"315",3,567301
"316",1,141740
"316",2,230189
"316",3,418407
"317",1,147139
"317",2,277284
"317",3,493623
"318",1,136227
"318",2,226902
"318",3,360875
"319",1,203987
"319",2,466847
"319",3,719368
"325",1,301655
"325",2,460835
"326",2,117714
"326",3,119966
"327",1,57387
"327",2,79415
"327",3,82010
"328",1,114911
"328",2,143429
"328",3,188708
"329",1,131903
"329",2,168094
"329",3,225832
"330",1,110918
"330",2,222854
"330",3,397568
"331",1,201578
"331",2,346593
"331",3,558975
"332",1,263041
"332",2,601458
"332",3,829828
"333",1,136782
"333",2,172268
"333",3,214541
"334",1,126248
"334",2,176184
"320",1,247960
"320",2,527804
"320",3,835527
"321",1,288847
"321",2,564879
"321",3,863686
"322",1,238143
"322",2,369617
"322",3,473416
"323",1,325376
"323",2,582862
"323",3,772629
"324",1,229297
"324",2,340749
"324",3,466125
"354",3,189352
"355",1,86151
"355",2,210223
"355",3,228426
"356",1,155321
"356",2,220212
"356",3,279264
"357",1,160165
"357",2,207212
"357",3,248919
"358",1,123692
"358",2,175576
"358",3,186606
"370",1,31348
"370",2,50075
"370",3,70171
"371",1,21476
"371",2,59201
"371",3,71806
"359",1,96178
"359",2,127530
"359",3,191446
"360",1,55124
"360",2,108262
"360",3,130628
"363",1,19388
"363",2,19388
"363",3,19388
"364",1,81711
"364",2,145992
"364",3,187551
"373",1,35879
"373",2,89964
"373",3,99963
"365",1,111800
"365",2,161229
"365",3,197681
"372",1,19637
"372",2,28209
"378",2,32730
"372",3,30524
"377",1,90097
"377",2,101388
"377",3,107175
"366",1,95532
"366",2,120519
"366",3,138616
"367",1,91037
"367",2,122014
"367",3,129932
"368",1,33119
"368",2,53238
"368",3,59925
"374",1,72838
"374",2,258472
"378",3,35486
"374",3,271803
"375",1,83543
"375",2,181102
"375",3,198915
"376",1,65082
"376",2,214204
"376",3,250136
"379",1,108059
"379",2,122195
"379",3,124135
"389",1,135908
"389",2,184008
"389",3,187248
"390",1,78185
"410",1,45260
"390",2,132004
"390",3,143952
"380",1,19403
"380",2,62981
"380",3,131239
"408",1,42404
"408",2,42459
"408",3,44480
"409",1,46755
"409",2,47079
"409",3,48079
"411",3,65349
"412",1,46044
"412",2,46948
"412",3,47123
"381",1,25195
"381",2,90084
"381",3,153144
"382",1,29035
"382",2,83178
"401",2,47185
"382",3,162582
"383",1,315224
"383",2,545781
"383",3,596258
"384",1,237935
"384",2,397346
"384",3,440741
"387",1,132032
"385",1,154799
"385",2,185731
"385",3,187531
"386",1,124393
"386",2,136608
"386",3,140805
"399",2,47052
"387",2,144081
"387",3,157993
"388",1,111720
"388",2,122598
"388",3,124256
"391",1,45162
"391",2,63978
"391",3,65322
"392",1,32637
"392",2,43219
"392",3,46486
"393",1,42556
"393",2,44577
"393",3,46944
"394",1,46969
"394",2,47052
"394",3,47206
"395",1,44142
"395",2,54963
"395",3,83731
"396",1,46401
"396",2,47185
